Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,79.117142,79.285713,62.142857,65.070000,46.901157,3280855900
2013-02-01,65.587143,69.277145,62.522858,63.057144,45.450329,2336008500
2013-03-01,62.571430,67.135712,59.857143,63.237144,47.506943,2294219200
2013-04-01,63.128571,63.607143,55.014286,63.254284,47.519821,2740872400
2013-05-01,63.494286,66.535713,59.842857,64.247147,48.265705,2361882600
2013-06-01,64.389999,64.918571,55.552856,56.647144,44.609531,1754634000
2013-07-01,57.527142,65.334282,57.317142,64.647141,50.909512,1634528700
2013-08-01,65.107140,73.391426,64.751427,69.602859,54.812115,2014584600
2013-09-01,70.442856,72.559998,63.888573,68.107140,56.215424,2157735300
2013-10-01,68.349998,77.035713,68.325714,74.671425,61.633572,1959433000
2013-11-01,74.860001,79.761429,73.197144,79.438568,65.568352,1306288900
2013-12-01,79.714287,82.162857,76.971428,80.145714,68.953758,1764349300
2014-01-01,79.382858,80.028572,70.507141,71.514282,61.527653,2191488600
2014-02-01,71.801430,78.741432,71.328575,75.177139,64.679031,1470091700
2014-03-01,74.774284,78.428574,74.687141,76.677139,68.836685,1250424700
2014-04-01,76.822861,85.632858,73.047142,84.298569,75.678795,1608765200
2014-05-01,84.571426,92.024284,82.904289,90.428574,81.181992,1433917100
2014-06-01,90.565712,95.050003,88.928574,92.930000,86.802559,1206934800
2014-07-01,93.519997,99.440002,92.570000,95.599998,89.296494,1035086000
2014-08-01,94.900002,102.900002,93.279999,102.500000,95.741524,937077000
2014-09-01,103.059998,103.739998,96.139999,100.750000,94.575027,1526420000
2014-10-01,100.589996,108.040001,95.180000,108.000000,101.380676,1360280200
2014-11-01,108.220001,119.750000,107.720001,118.930000,111.640800,820408200
2014-12-01,118.809998,119.250000,106.260002,110.379997,104.064087,1073594600
2015-01-01,111.389999,120.000000,104.629997,117.160004,110.456146,1304643800
2015-02-01,118.050003,133.600006,116.080002,128.460007,121.109573,1136535200
2015-03-01,129.250000,130.279999,121.629997,124.430000,117.773125,1138642100
2015-04-01,124.820000,134.539993,123.099998,125.150002,118.454613,996135500
2015-05-01,126.099998,132.970001,123.360001,130.279999,123.310150,954152100
2015-06-01,130.279999,131.389999,124.480003,125.430000,119.215538,878512600
2015-07-01,126.900002,132.970001,119.220001,121.300003,115.290154,1057507200
2015-08-01,121.500000,122.570000,92.000000,112.919998,107.325348,1786018000
2015-09-01,110.150002,116.889999,107.360001,110.300003,105.309700,1206547300
2015-10-01,109.070000,121.220001,107.309998,119.500000,114.093460,1112323100
2015-11-01,120.800003,123.820000,111.000000,118.300003,112.947731,750640600
2015-12-01,118.750000,119.860001,104.820000,105.260002,100.927895,921529700
2016-01-01,102.610001,105.849998,92.389999,97.339996,93.333847,1271024100
2016-02-01,96.470001,98.889999,92.589996,96.690002,92.710609,810862600
2016-03-01,97.650002,110.419998,97.419998,108.989998,105.071449,746049600
2016-04-01,108.779999,112.389999,92.510002,93.739998,90.369751,872396200
2016-05-01,93.970001,100.730003,89.470001,99.860001,96.269714,900318100
2016-06-01,99.019997,101.889999,91.500000,95.599998,92.723991,779055700
2016-07-01,95.489998,104.550003,94.370003,104.209999,101.074974,685779600
2016-08-01,104.410004,110.230003,104.000000,106.099998,102.908104,630128500
2016-09-01,106.139999,116.180000,102.529999,113.050003,110.243034,968015600
2016-10-01,112.709999,118.690002,112.279999,113.540001,110.720856,686914300
2016-11-01,113.459999,113.769997,104.080002,110.519997,107.775841,721305500
2016-12-01,110.370003,118.019997,108.250000,115.820000,113.524132,608703400
2017-01-01,115.800003,122.440002,114.760002,121.349998,118.944504,563122000
2017-02-01,127.029999,137.479996,127.010002,136.990005,134.274490,574968600
2017-03-01,137.889999,144.500000,137.050003,143.660004,141.422775,561628400
2017-04-01,143.710007,145.460007,140.059998,143.649994,141.412903,373304100
2017-05-01,145.100006,156.649994,144.270004,152.759995,150.381042,653755300
2017-06-01,153.169998,155.979996,142.199997,144.020004,142.362366,684178100
2017-07-01,144.880005,153.990005,142.410004,148.729996,147.018143,421992400
2017-08-01,149.100006,164.520004,148.410004,164.000000,162.112396,661069000
2017-09-01,164.800003,164.940002,149.160004,154.119995,152.944366,679879200
2017-10-01,154.259995,169.649994,152.460007,169.039993,167.750549,504291300
2017-11-01,169.869995,176.240005,165.279999,171.850006,170.539124,600663400
2017-12-01,169.949997,177.199997,166.460007,169.229996,168.542831,531183800
